#T	192
0	1.	1.
1	2.9245268E-2	2.5322985E-2
2	4.2996364E-3	3.1678260E-3
3	1.1045775E-3	9.3718809E-4
4	4.2886818E-4	3.9563389E-4
5	2.1203192E-4	2.0261885E-4
6	1.2076758E-4	1.1722780E-4
7	7.5418467E-5	7.3822469E-5
8	5.0260552E-5	4.9417274E-5
9	3.5180712E-5	3.4727247E-5
10	2.5586489E-5	2.5326396E-5
11	1.9189745E-5	1.9030483E-5
12	1.4761488E-5	1.4659073E-5
13	1.1598291E-5	1.1530172E-5
14	9.2788205E-6	9.2320185E-6
15	7.5391091E-6	7.5059883E-6
16	6.2088711E-6	6.1848330E-6
17	5.1746257E-6	5.1566541E-6
18	4.3576979E-6	4.3440395E-6
19	3.7041694E-6	3.6937217E-6
20	3.1751311E-6	3.1669927E-6
21	2.7422619E-6	2.7358523E-6
22	2.3847193E-6	2.3789887E-6
23	2.0866951E-6	2.0821457E-6
24	1.8363612E-6	1.8326494E-6
25	1.6245426E-6	1.6215307E-6
26	1.4441045E-6	1.4416349E-6
27	1.2894483E-6	1.2874927E-6
28	1.1561112E-6	1.1544769E-6
29	1.0405498E-6	1.0391748E-6
30	9.3987978E-7	9.3876717E-7
31	8.5180944E-7	8.5084300E-7
32	7.7441252E-7	7.7358438E-7
33	7.0612504E-7	7.0540605E-7
34	6.4563522E-7	6.4501223E-7
35	5.9186520E-7	5.9132285E-7
36	5.4390701E-7	5.4341620E-7
37	5.0099374E-7	5.0056588E-7
38	4.6248889E-7	4.6210153E-7
39	4.2782781E-7	4.2748358E-7
40	3.9653925E-7	3.9624420E-7
41	3.6831424E-7	3.6796823E-7
42	3.4257542E-7	3.4232777E-7
43	3.1923847E-7	3.1901663E-7
44	2.9797538E-7	2.9777806E-7
45	2.7855610E-7	2.7838333E-7
46	2.6079342E-7	2.6062271E-7
47	2.4451065E-7	2.4434584E-7
48	2.2955908E-7	2.2940904E-7
49	2.1580126E-7	2.1566618E-7
50	2.0312220E-7	2.0300031E-7
51	1.9141818E-7	1.9130632E-7
52	1.8059721E-7	1.8050141E-7
53	1.7057754E-7	1.7049197E-7
54	1.6128631E-7	1.6120406E-7
55	1.5265849E-7	1.5258243E-7
56	1.4463589E-7	1.4456973E-7
57	1.3716632E-7	1.3710623E-7
58	1.3020319E-7	1.3014772E-7
59	1.2370342E-7	1.2365272E-7
60	1.1762966E-7	1.1758327E-7
61	1.1194754E-7	1.1190506E-7
62	1.0662601E-7	1.0658708E-7
63	1.0163574E-7	1.0160119E-7
64	9.6953631E-8	9.6921855E-8
65	9.2554412E-8	9.2527390E-8
66	8.8418343E-8	8.8393209E-8
67	8.4525426E-8	8.4502061E-8
68	8.0849948E-8	8.0836337E-8
69	7.7391605E-8	7.7379935E-8
70	7.4136840E-8	7.4118117E-8
71	7.1054749E-8	7.1037372E-8
72	6.8141422E-8	6.8125300E-8
73	6.5385460E-8	6.5370506E-8
74	6.2776374E-8	6.2762508E-8
75	6.0309570E-8	6.0291649E-8
76	5.7965047E-8	5.7949027E-8
77	5.5740715E-8	5.5726424E-8
78	5.3628970E-8	5.3616606E-8
79	5.1622777E-8	5.1611755E-8
80	4.9715622E-8	4.9705805E-8
81	4.7901465E-8	4.7892728E-8
82	4.6174706E-8	4.6166932E-8
83	4.4530140E-8	4.4523223E-8
84	4.2962933E-8	4.2956777E-8
85	4.1468293E-8	4.1463103E-8
86	4.0042622E-8	4.0030693E-8
87	3.8681721E-8	3.8677178E-8
88	3.7381949E-8	3.7377643E-8
89	3.6139910E-8	3.6136040E-8
90	3.4952430E-8	3.4948946E-8
91	3.3816544E-8	3.3813398E-8
92	3.2721108E-8	3.2726629E-8
93	3.1688632E-8	3.1686044E-8
94	3.0620708E-8	3.0689215E-8
95	2.9736024E-8	2.9734084E-8
96	2.8819841E-8	2.8818071E-8
97	2.7942399E-8	2.7939394E-8
